4871.archive|DLT206 + mss
4877.date|892651740
5070.trigger|Standard Data
5202.size|36 Mb
5368.trigger|Standard Data
5437.comment| 
5472.archive|mss
5474.date|898830180
6512.energy|5.5 GeV
6592.date|932829840
6594.archive|mss
6621.filename|r6621.evt
6655.trigger|Standard Data
6676.size|108.9 Mb
7378.size|537.8 Mb
7390.comment|
7430.archive|mss
7436.date|959156280
7537.energy|5.65 GeV
7574.comment|
7682.comment|
7894.energy|5.65 GeV
8100.comment|no data--something's messed up
8240.energy|no beam
8308.filename|r8308.evt
8329.archive|mss + hpss
8407.filename|r8407.evt
8454.size|4.5 Mb
8635.energy|5.65 GeV
8676.comment|
5109.size|106.4 Mb
7438.uconn.pvfs0.date|970621800
7804.uconn.pvfs0.size|247456708
7974.hpss.filename|r7974.evt
8204.hpss.date|970644600
8610.uconn.pvfs1.date|971437020
8679.hpss.date|970149600
8305.jlab.jcache.size|585629696
8469.jlab.jcache.date|972575340
8030.uconn.pvfs0.size|2926060
7652.epics.C slit position|8.00
7661.epics.bpm_1_x|12.155
7713.epics.bpm_2_i|0.000
7824.epics.Radiator A|0.00
7835.epics.beam energy|5653
7850.epics.bpm_2_y|0.232
7851.epics.Halo D upstream|10538
7863.epics.beam current|130.895
7875.epics.bpm_1_y|0.599
7882.epics.B slit position|17.00
7895.epics.Tagger dump U|1457822
7901.epics.Halo R upstream|953
7906.epics.Tagger dump L|88189
7944.epics.Radiator D|0.00
7976.epics.Halo L upstream|767
7984.epics.beam current|130.679
7990.epics.Halo D upstream|10917
7991.epics.bpm_2_y|0.218
8001.epics.beam energy|5653
8010.epics.Radiator A|0.00
8021.epics.Halo L upstream|0
8137.epics.B slit position|15.97
8138.epics.beam current|129.306
8156.epics.Radiator out|0
8171.epics.Radiator C|0.00
8206.epics.bpm_1_x|-1.465
8218.epics.Radiator C|0.00
8223.epics.bpm_2_x|-0.543
8241.epics.Tagger dump U|0
8257.epics.C slit position|-1.00
8333.epics.bpm_1_i|77.163
8343.epics.Halo U upstream|10442
8351.epics.Helium pressure|0.53
8363.epics.TimeStamp|Sat Jun 24 07
8368.epics.Halo R upstream|751
8399.epics.tagger current|2046.66
8453.epics.A slit position|8.00
8472.epics.Master OR|13548912
8505.epics.beam current|76.793
8601.epics.B slit position|16.75
8616.epics.bpm_2_x|-0.002
8634.epics.Tagger dump U|0
8700.epics.Halo D upstream|23148
8701.epics.bpm_2_y|0.152
8714.epics.beam current|2.072
7585.timecorr|0.
8179.timecorr|2388.91748
8210.timecorr|0.00112096593
8647.timecorr|3214.9939
8353.time|1449.98975
4651.size|4 Mb
4737.date|892183320
4807.trigger|MAM.ge.0x50
5436.size|82 Mb
5594.energy|4 GeV
6213.size|200.8 Mb
6222.filename|r6222.evt
6284.comment|
6446.filename|r6446.evt
6584.trigger|cosmics
6599.archive|mss
6693.comment|adc gate width 150
6793.date|933680160
7247.filename|r7247.evt
7332.energy|5.65 GeV
7391.size|283.6 Mb
7420.trigger|Standard Data
7575.size|512.0 Kb
7614.comment|hot LGD block seen in histoscope
7683.size|418.8 Mb
7747.energy|5.65 GeV
7952.date|960102420
8009.date|960192180
8045.energy|none
8101.size|120.0 Kb
8170.filename|r8170.evt
8219.filename|r8219.evt
8299.comment|
8324.archive|mss + hpss
8434.date|962311200
8571.energy|5.65 GeV
8677.size|1065.5 Mb
8698.energy|5.65 GeV
4826.comment|
7514.uconn.pvfs0.date|970872480
7586.uconn.pvfs0.size|200310208
7705.uconn.pvfs0.date|970815480
7899.hpss.date|971216580
8511.hpss.date|968249280
8686.hpss.size|1116209152
7773.hpss.size|824241060
7805.hpss.size|831856932
7893.jlab.jcache.filename|r7893.evt
8247.jlab.jcache.filename|r8247.evt
7957.jlab.jcache.date|972576480
8213.uconn.pvfs0.size|0
7661.epics.bpm_1_y|-6.067
7703.epics.Halo U upstream|39992
7718.epics.tagger voltage|105.80
7784.epics.B slit position|17.00
7820.epics.beam current|129.708
7840.epics.Tagger dump R|1693141
7850.epics.bpm_2_x|-0.653
7875.epics.bpm_1_x|-1.426
7925.epics.Tagger dump L|204355
7932.epics.C slit position|8.00
7949.epics.Tagger dump R|1164386
7969.epics.beam current|130.463
7991.epics.bpm_2_x|-0.609
8014.epics.beam current|1.045
8050.epics.Tagger dump L|0
8087.epics.C slit position|-1.00
8094.epics.Radiator D|0.00
8117.epics.Tagger dump R|26
8171.epics.Radiator B|1.00
8191.epics.Tagger dump L|18382
8206.epics.bpm_1_y|0.555
8218.epics.Radiator B|0.00
8222.epics.Halo L upstream|575
8223.epics.bpm_2_y|0.118
8249.epics.bpm_2_i|74.448
8258.epics.A slit position|-1.00
8269.epics.Halo U upstream|293
8273.epics.beam energy|5653
8278.epics.Radiator out|0
8280.epics.Tagger dump U|0
8308.epics.TimeStamp|Tue Jun 20 23
8316.epics.tagger current|2046.66
8318.epics.Helium pressure|0.74
8407.epics.TimeStamp|Tue Jun 27 19
8471.epics.Helium pressure|0.56
8483.epics.Tagger dump L|1571
8527.epics.Radiator A|1.00
8532.epics.Halo D upstream|10072
8564.epics.Tagger dump L|0
8616.epics.bpm_2_y|0.136
8617.epics.Halo L upstream|1096
8620.epics.beam energy|5653
8653.epics.B slit position|16.75
8701.epics.bpm_2_x|0.002
7735.timecorr|545.706482
8077.timecorr|483.656342
8099.timecorr|0.
8543.timecorr|2787.87012
8347.time|5304.479
4790.date|892433520
4880.trigger|Standard Data
5301.filename|r5301.evt
5479.comment| 
5561.size|28 Mb
5573.date|899047980
6304.filename|r6304.evt
6440.archive|mss
6487.size|263.9 Mb
6598.energy|5.5 GeV
6748.size|512.0 Kb
7206.size|409.0 Mb
7241.archive|mss
7311.date|959034180
7540.trigger|Standard Data
