 Sample    |t|low      |t|high        Elow        Ehigh         Nmcgen
   0        0.00        0.04          4.39         5.39       9.82033e+06
   1        0.04        0.08          4.39         5.39       1.48451e+07
   2        0.08        0.12          4.39         5.39       1.35499e+07
   3        0.12        0.16          4.39         5.39       1.15187e+07
   4        0.16        0.20          4.39         5.39       9.5844e+06
   5        0.20        0.24          4.39         5.39       7.80609e+06
   6        0.24        0.28          4.39         5.39       6.37189e+06
   7        0.28        0.32          4.39         5.39       5.22695e+06
   8        0.32        0.36          4.39         5.39       4.22887e+06
   9        0.36        0.40          4.39         5.39       3.46107e+06
  10        0.40        0.44          4.39         5.39       2.78144e+06
  11        0.44        0.48          4.39         5.39       2.26412e+06
  12        0.48        0.52          4.39         5.39       1.8377e+06
  13        0.52        0.56          4.39         5.39       1.50399e+06
  14        0.56        0.60          4.39         5.39       1.22149e+06
  15        0.60        0.64          4.39         5.39         963439
  16        0.64        0.68          4.39         5.39         796587
  17        0.68        0.72          4.39         5.39         635290
  18        0.72        0.76          4.39         5.39         505000
  19        0.76        0.80          4.39         5.39         412181
  20        0.80        0.84          4.39         5.39         337037
  21        0.84        0.88          4.39         5.39         259166
  22        0.88        0.92          4.39         5.39         210686
  23        0.92        0.96          4.39         5.39         171296
  24        0.96        1.00          4.39         5.39         144632
  25        1.00        1.04          4.39         5.39         105545
  26        1.04        1.08          4.39         5.39          89082
  27        1.08        1.12          4.39         5.39          71811
  28        1.12        1.16          4.39         5.39          55651
  29        1.16        1.20          4.39         5.39          41915
 100        0.00        0.08          4.39         4.60       5.41461e+06
 101        0.08        0.16          4.39         4.60       5.7367e+06
 102        0.16        0.24          4.39         4.60       3.98516e+06
 103        0.24        0.32          4.39         4.60       2.687e+06
 104        0.32        0.40          4.39         4.60       1.778e+06
 105        0.40        0.48          4.39         4.60       1.16665e+06
 106        0.48        0.56          4.39         4.60         773458
 107        0.56        0.64          4.39         4.60         508030
 108        0.64        0.72          4.39         4.60         320069
 109        0.72        0.80          4.39         4.60         213716
 110        0.80        0.88          4.39         4.60         139178
 111        0.88        0.96          4.39         4.60          93829
 112        0.96        1.04          4.39         4.60          56964
 113        1.04        1.12          4.39         4.60          37572
 114        1.12        1.20          4.39         4.60          22422
 200        0.00        0.08          4.60         4.90       7.52521e+06
 201        0.08        0.16          4.60         4.90       7.74024e+06
 202        0.16        0.24          4.60         4.90       5.38229e+06
 203        0.24        0.32          4.60         4.90       3.57843e+06
 204        0.32        0.40          4.60         4.90       2.3734e+06
 205        0.40        0.48          4.60         4.90       1.55924e+06
 206        0.48        0.56          4.60         4.90       1.02879e+06
 207        0.56        0.64          4.60         4.90         689527
 208        0.64        0.72          4.60         4.90         445309
 209        0.72        0.80          4.60         4.90         283911
 210        0.80        0.88          4.60         4.90         184224
 211        0.88        0.96          4.60         4.90         115847
 212        0.96        1.04          4.60         4.90          77265
 213        1.04        1.12          4.60         4.90          50500
 214        1.12        1.20          4.60         4.90          31007
 300        0.00        0.08          4.90         5.15       6.09646e+06
 301        0.08        0.16          4.90         5.15       6.0699e+06
 302        0.16        0.24          4.90         5.15       4.17312e+06
 303        0.24        0.32          4.90         5.15       2.79639e+06
 304        0.32        0.40          4.90         5.15       1.83689e+06
 305        0.40        0.48          4.90         5.15       1.22089e+06
 306        0.48        0.56          4.90         5.15         813252
 307        0.56        0.64          4.90         5.15         519948
 308        0.64        0.72          4.90         5.15         348551
 309        0.72        0.80          4.90         5.15         219170
 310        0.80        0.88          4.90         5.15         142713
 311        0.88        0.96          4.90         5.15          89890
 312        0.96        1.04          4.90         5.15          61004
 313        1.04        1.12          4.90         5.15          39390
 314        1.12        1.20          4.90         5.15          21513
 400        0.00        0.08          5.15         5.39       5.62913e+06
 401        0.08        0.16          5.15         5.39       5.52177e+06
 402        0.16        0.24          5.15         5.39       3.84992e+06
 403        0.24        0.32          5.15         5.39       2.53702e+06
 404        0.32        0.40          5.15         5.39       1.70165e+06
 405        0.40        0.48          5.15         5.39       1.09878e+06
 406        0.48        0.56          5.15         5.39         726190
 407        0.56        0.64          5.15         5.39         467428
 408        0.64        0.72          5.15         5.39         317948
 409        0.72        0.80          5.15         5.39         200384
 410        0.80        0.88          5.15         5.39         130088
 411        0.88        0.96          5.15         5.39          82416
 412        0.96        1.04          5.15         5.39          54944
 413        1.04        1.12          5.15         5.39          33431
 414        1.12        1.20          5.15         5.39          22624
